submitted_at	provider	shot	workflow_sha256	prompt_id	status	output	probe
2026-08-31T09:01:07-03:00	LTX-2.3	S03_SH003	09744ec53372d61eca113b5072f7e259d45db1358bdab6c6245e8757c807ae50	9c674093-4914-4465-8ec2-8887b139d5e9	completed-candidate	generated/ltx-v1/shots/S03_SH003-clean/9c674093_000.mp4	640x320; 24fps; 4.042s; clean contact sheet
2026-08-31T09:01:07-03:00	LTX-2.3	S04_SH002	f813ba68b247c88fdd0d95fffe49291de3ad8a8f6d95e830c41d1b73a5814457	132461cd-f34d-459e-a6aa-2a8247fbf551	completed-candidate	generated/ltx-v1/shots/S04_SH002-clean/132461cd_000.mp4	640x320; 24fps; 2.042s; clean midpoint
2026-08-31T09:02:34-03:00	MiniMax-H3-audio	S01_SH002	c1e557f0acbd44877c7552b3c6aa4f161262f93c0fa7c6e78c94eccfcd3a972c	675557c3-7a44-4dcc-bf92-ad98b49011e9	completed-candidate	generated/audio-stems/S01_SH002/675557c3_000.mp4	608x352; 24fps; 12.250s; H264+AAC stereo; PT-BR ASR pending
2026-08-31T09:02:34-03:00	MiniMax-H3-audio	S02_SH002	76de6098389735c1170a8ac18ee122032197cc5e08d8e410b63ba6be84591978	6b0f0128-4a2e-4bba-8c3e-5283d537aee1	completed-diagnostic	generated/audio-stems/S02_SH002/6b0f0128_000.mp4	608x352; 24fps; 12.250s; PT-BR ASR substitutions; pickup required
2026-08-31T09:02:34-03:00	MiniMax-H3-audio	S03_SH002	99a9ff8a4f2e783a625b2dbfd3e9238ed321a4c355a8f82c0afb8cfda75872d0	039f89ea-1adb-48e7-b44c-79d095b57c68	completed-diagnostic	generated/audio-stems/S03_SH002/039f89ea_000.1.mp4	608x352; 24fps; 12.250s; PT-BR ASR substitution; pickup required
2026-08-31T09:03:31-03:00	Wan-2.2-5B	S00_SH002	15c148d2bb4df0aad9c18f272610aad36dd98df4f292bc804929423405bb7517	df0231d5-15bf-4600-842d-6e016a3ea2c9	queued		pastel-to-paper candidate
2026-08-31T09:03:31-03:00	Wan-2.2-5B	S01_SH001	ec07fabed82670fb3f6e2f8aaec1d457adca914d71c54b37a0752e0755fe476f	c662a427-908f-4cb0-855b-b09820a05544	queued		Bixiga geography candidate
2026-08-31T09:03:31-03:00	Wan-2.2-5B	S01_SH002	c15db277cb856ab0789db259b48b22226feea47f9e5a11536e6613e6ac650ad1	50da49bb-a2eb-4158-8cff-6abd525a2b4f	queued		Claire portrait candidate
2026-08-31T09:03:31-03:00	Wan-2.2-5B	S01_SH003	18e4ded9a7cb8663ad4c8a58a5c572b300a6fa87a4f5f3ad947b4b6b84782971	b9b0cf8d-a702-4e17-8319-f62219c07e52	queued		Claire insert candidate
2026-08-31T09:03:31-03:00	Wan-2.2-5B	S02_SH001	b9f8c76606f04072364b53cbd9472ece796a925d64470b7526de1b5027069c32	6a332287-aa76-4c5d-9923-0a4bd69bad7b	cancelled-before-run		superseded wardrobe wording
2026-08-31T09:03:31-03:00	Wan-2.2-5B	S02_SH002	9f0b013ae9ca6b7c4f14403db6d378da4ad2bfcaa50f499e475f0be2bebbff6d	93cb7616-1297-44ff-80d8-b1784989027f	cancelled-before-run		superseded wardrobe wording
2026-08-31T09:03:31-03:00	Wan-2.2-5B	S02_SH003	8b1beb40bad34b798f9b3874528892b0b047e9cd82b4e6c10d72e307f9e784a4	ef0e40a9-3f23-4418-a549-af0428f75793	cancelled-before-run		superseded wardrobe wording
2026-08-31T09:03:31-03:00	Wan-2.2-5B	S03_SH001	3e5fdd55c660c085e94aa7f4e631b71af87e7df9bb0fd9841a5ac5209ba19bae	b759ab83-ffbc-414b-9aaf-de0e01437efb	queued		MASP geography candidate
2026-08-31T09:03:31-03:00	Wan-2.2-5B	S03_SH002	76a26010fed4b12d583fec29c9be96fbbb481ed191c56e794e7b6488c51a6d4e	85e58244-ebfe-4bd8-b5cb-710e4140629a	queued		Rafael portrait candidate
2026-08-31T09:03:31-03:00	Wan-2.2-5B	S03_SH003	ee5232a2763df264fdec8bb53676bd4650dc552dc2af69daa80916ff3dba9d47	3bfbda03-987a-42e6-80bd-9e7687f4c9a1	queued		Rafael insert candidate
2026-08-31T09:03:31-03:00	Wan-2.2-5B	S04_SH002	d4a3a87ab99ce84ac0a112c90702fd6f9c3a3dc8f58b3714b8c3819939f83354	61ad85e7-8b8a-4394-ba07-72eb5216b8c9	queued		closing paper candidate
2026-08-31T09:10:20-03:00	Wan-2.2-5B	S02_SH001	be37ca889b1e2efe81defe50d470921dcc63031390b5030a529dd657bd9308f5	9493aa16-8afc-4eea-94c4-63756328e4f8	queued		corrected positive-only Sé geography
2026-08-31T09:10:20-03:00	Wan-2.2-5B	S02_SH002	1f8dcd679f6fc66c4ead2e0148445335d69f78ba2489edf9e5c8e84611da6c3f	5095e0ef-37b4-44b1-b694-b64f96fe9b85	queued		corrected moss-green portrait
2026-08-31T09:10:20-03:00	Wan-2.2-5B	S02_SH003	5a32d4ebd0775a86ad4a93d7111c8145b141f6304f8b6b686f85e1796de4411a	481eec39-1f5d-4cd7-a3b7-93db335f157d	queued		corrected moss-green insert
2026-08-31T20:14:55-03:00	MiniMax-H3-Turbo	T2V-PROOF	c8afd78c2e25a61c4e8dc3fa4bb83e4d3380621104c22ffcbc74f9ec8cfb36c7	394a7237-fe53-4c82-b5ae-b4d643dff475	completed-candidate	generated/minimax-h3-turbo-proof/394a7237_000.mp4	custom Turbo LoRA + Turbo sampler; 8 steps; runtime canary verified in journalctl
